Run,Score,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
90,199,1.00556,0.49388,-0.22402,1.03276,0.29798,-0.86288,-0.27473,-1.11367,-0.88127,-0.81650,0.62688,0.32188,-0.16017,-0.21545,-0.29148,-0.62254
91,199,0.72375,-0.73200,0.14037,-0.19490,-0.37175,0.03662,-0.41750,-0.29726,-1.17154,0.64639,-0.75997,0.38144,-0.00983,0.43969,-0.90437,-0.17133
92,199,-0.35612,-1.02470,-0.73651,-0.12042,-0.50776,-0.74136,0.84433,-0.02175,-0.72419,-0.69332,-0.90834,0.97019,0.62137,-0.14367,0.98367,0.11004
93,199,0.12522,-0.08469,-0.48081,0.71003,0.20846,-0.85802,-0.09229,-0.23794,-0.89295,0.42012,0.20238,0.47341,-0.06453,-0.15788,-1.23422,0.25484
94,197,-0.71349,0.06444,-0.33007,0.02647,0.11812,-0.76739,-0.56612,-0.76443,-0.38298,-0.75794,0.48696,0.85520,-0.08389,-0.50283,-0.70905,0.47434
95,197,-0.08038,-0.31239,-0.11838,0.76170,-1.04674,-0.55489,-0.72680,-1.10443,-0.34594,-0.73931,0.41900,0.73210,-0.40510,-0.82527,-0.07333,0.83556
96,199,-0.11069,0.95829,-0.71866,0.53350,-0.05195,-0.83977,-0.50092,-0.32880,-1.22853,0.78232,0.55403,1.10027,-0.00757,-0.28767,-0.46826,-0.51300
97,199,0.25907,0.18977,0.46840,-0.17675,-0.21181,-0.45535,-0.22462,0.02239,-1.00278,-1.04861,-0.79139,0.57890,0.43982,-0.64464,0.66469,-0.33889
98,199,-0.65325,-0.27068,0.35253,0.63242,-0.91039,-1.05458,0.43916,-0.51690,-0.80626,-0.64072,-0.42761,0.68652,-1.06073,-0.65092,0.82329,-0.27361
99,199,-0.61307,-0.36021,-0.59091,0.48206,-0.55526,-0.95352,-0.83755,-0.47751,-0.75656,-0.74998,-0.25729,0.25869,0.76020,-0.40964,-0.57758,-0.98331
100,199,-0.17747,-0.56463,0.05116,1.06136,-0.42853,-0.33159,0.61587,-0.22989,-1.00068,-0.48141,-0.44871,0.46875,0.89832,-0.07276,0.94481,-0.47809
